Code,Semester,Average
RSM230,Winter 2022,B
RSM250,Winter 2022,B+
RSM260,Winter 2022,B+
RSM323,Winter 2022,B+
RSM326,Winter 2022,B+
SOC100,Winter 2022,C+
SOC201,Winter 2022,B-
SOC204,Winter 2022,B
SOC212,Winter 2022,B-
SOC251,Winter 2022,B-
SPA100,Winter 2022,B-
STA130,Winter 2022,B-
STA238,Winter 2022,B
STA261,Winter 2022,B-
STA288,Winter 2022,B
STA302,Winter 2022,C+
STA303,Winter 2022,B
STA304,Winter 2022,B
STA305,Winter 2022,B
STA355,Winter 2022,B-
STA365,Winter 2022,B+
STA410,Winter 2022,C
STA437,Winter 2022,C+
STA447,Winter 2022,B
STA457,Winter 2022,B+
VIC198,Winter 2022,A-
WGS380,Winter 2022,B+
WRR103,Winter 2022,C+
ACT240,Fall 2022,C-
ACT451,Fall 2022,B-
ACT460,Fall 2022,B+
APS110,Fall 2022,B
APS111,Fall 2022,B-
AST101,Fall 2022,C+
BCH210,Fall 2022,C+
BIO120,Fall 2022,B-
BIO230,Fall 2022,B
CAS310,Fall 2022,C+
CAS350,Fall 2022,B-
CHM135,Fall 2022,B-
CHM220,Fall 2022,B+
CIV100,Fall 2022,C-
CSB340,Fall 2022,B+
CSB349,Fall 2022,A-
CSB350,Fall 2022,B-
CSB460,Fall 2022,B
